id,title,source,lang,primary_category,secondary_category,difficulty,tags,use_case,parent_id,related_ids,content_type,audience,platform,skill_level,prerequisites,output_format
49,"Artificial intelligence ethics and safety","Book","en","AI","Ethics","Advanced","ai,ethics,safety,governance,responsible-ai","Ethical",48,"48,50,63","Framework","AI Professionals","Technical","Advanced","AI knowledge","Guidelines"
50,"Machine learning model explanations","Book","en","AI","ML","Advanced","machine-learning,explanations,interpretability,ai-models","Technical",49,"49,51,64","Methods","Data Scientists","Technical","Advanced","ML knowledge","Explanations"
51,"Blockchain and cryptocurrency concepts","Book","en","Technology","Blockchain","Advanced","blockchain,cryptocurrency,web3,defi,nft","Technical",50,"50,52,65","Explanations","Developers","Technical","Advanced","Programming","Concepts"
52,"Cybersecurity threat analysis","Book","en","Technology","Security","Advanced","cybersecurity,threats,analysis,protection,infosec","Security",51,"51,53,66","Methods","Security Professionals","Technical","Advanced","Networking","Analyses"
53,"Cloud infrastructure optimization","Book","en","Technology","Cloud","Advanced","cloud,infrastructure,optimization,devops,scaling","Technical",52,"52,54,67","Strategies","DevOps","Technical","Advanced","Cloud experience","Architectures"
54,"Mobile app development workflows","Book","en","Technology","Mobile","Intermediate","mobile,development,apps,ios,android","Development",53,"53,55,68","Workflows","App Developers","Technical","Intermediate","Programming","Processes"
55,"UI/UX design principles and testing","Book","en","Technology","Design","Intermediate","ui,ux,design,user-experience,testing","Design",54,"54,56,69","Principles","Designers","Creative","Intermediate","Design basics","Guidelines"
56,"Content strategy and editorial planning","Book","en","Marketing","Content Strategy","Intermediate","content,strategy,editorial,planning,calendar","Marketing",55,"55,57,70","Frameworks","Content Managers","Business","Intermediate","Content creation","Plans"
57,"Brand voice and tone development","Book","en","Marketing","Branding","Intermediate","branding,voice,tone,identity,positioning","Marketing",56,"56,58,71","Guidelines","Brand Managers","Business","Intermediate","Brand knowledge","Standards"
58,"Crisis communication management","Book","en","Business","Crisis Management","Advanced","crisis,communication,management,pr,reputation","Management",57,"57,59,72","Protocols","Executives","Business","Advanced","Management role","Plans"
59,"Negotiation skills and strategies","Book","en","Business","Negotiation","Intermediate","negotiation,strategy,communication,deal-making","Professional",58,"58,60,73","Techniques","Professionals","Business","Intermediate","Communication skills","Frameworks"
60,"Public speaking and presentation delivery","Book","en","Business","Public Speaking","Intermediate","public-speaking,presentation,delivery,engagement","Professional",59,"59,61,74","Methods","Speakers","Business","Intermediate","Speaking experience","Structures"
61,"Team building and leadership activities","Book","en","Business","Leadership","Intermediate","team-building,leadership,management,collaboration","Management",60,"60,62,75","Activities","Managers","Business","Intermediate","Team role","Exercises"
62,"Project management methodologies","Book","en","Business","Project Management","Intermediate","project-management,methodologies,agile,scrum,kanban","Management",61,"61,63,76","Frameworks","Project Managers","Business","Intermediate","Project experience","Methods"
63,"Quality assurance and testing strategies","Book","en","Technology","QA","Intermediate","qa,testing,quality,assurance,automation","Development",62,"62,64,77","Strategies","QA Engineers","Technical","Intermediate","Testing knowledge","Plans"
64,"Database design and optimization","Book","en","Technology","Databases","Advanced","database,design,optimization,sql,performance","Technical",63,"63,65,78","Principles","Database Admins","Technical","Advanced","Database knowledge","Designs"
65,"API development and integration","Book","en","Technology","APIs","Advanced","api,development,integration,rest,graphql","Development",64,"64,66,79","Methods","Developers","Technical","Advanced","Programming","Code"
66,"DevOps automation and CI/CD","Book","en","Technology","DevOps","Advanced","devops,automation,ci-cd,deployment,infrastructure","Technical",65,"65,67,80","Pipelines","DevOps Engineers","Technical","Advanced","System admin","Scripts"
67,"Internet of Things (IoT) applications","Book","en","Technology","IoT","Advanced","iot,internet-of-things,smart-devices,automation","Technical",66,"66,68,81","Concepts","IoT Developers","Technical","Advanced","Electronics","Architectures"
68,"Augmented Reality development concepts","Book","en","Technology","AR/VR","Advanced","ar,vr,augmented-reality,virtual-reality,3d","Development",67,"67,69,82","Concepts","AR/VR Developers","Technical","Advanced","3D knowledge","Designs"
69,"Natural Language Processing applications","Book","en","AI","NLP","Advanced","nlp,language-processing,linguistics,text-analysis","Technical",68,"68,70,83","Methods","AI Researchers","Technical","Advanced","ML knowledge","Models"
70,"Computer vision and image analysis","Book","en","AI","Computer Vision","Advanced","computer-vision,images,analysis,recognition,ai","Technical",69,"69,71,84","Methods","AI Engineers","Technical","Advanced","ML knowledge","Algorithms"
71,"Robotics programming and automation","Book","en","Technology","Robotics","Advanced","robotics,automation,programming,ai,mechanics","Technical",70,"70,72,85","Code","Robotics Engineers","Technical","Advanced","Programming","Programs"
72,"Supply chain optimization and logistics","Book","en","Business","Supply Chain","Advanced","supply-chain,logistics,optimization,operations","Operations",71,"71,73,86","Strategies","Operations Managers","Business","Advanced","Supply chain knowledge","Models"
73,"Financial modeling and forecasting","Book","en","Finance","Modeling","Advanced","finance,modeling,forecasting,analysis,prediction","Financial",72,"72,74,87","Methods","Financial Analysts","Business","Advanced","Finance knowledge","Models"
74,"Risk management frameworks","Book","en","Business","Risk Management","Advanced","risk,management,frameworks,assessment,mitigation","Management",73,"73,75,88","Frameworks","Risk Managers","Business","Advanced","Business experience","Plans"
75,"Corporate governance and compliance","Book","en","Business","Governance","Advanced","governance,compliance,regulation,corporate,legal","Management",74,"74,76,89","Guidelines","Executives","Business","Advanced","Legal knowledge","Policies"
76,"Human resources and talent management","Book","en","Business","HR","Intermediate","hr,human-resources,talent,recruitment,management","Management",75,"75,77,90","Strategies","HR Professionals","Business","Intermediate","HR knowledge","Processes"
77,"Employee training and development","Book","en","Business","Training","Intermediate","training,development,employees,skills,learning","Professional",76,"76,78,91","Programs","Trainers","Business","Intermediate","Training experience","Curricula"
78,"Performance management systems","Book","en","Business","Performance","Intermediate","performance,management,metrics,evaluation,feedback","Management",77,"77,79,92","Frameworks","Managers","Business","Intermediate","Management role","Systems"
79,"Customer journey mapping","Book","en","Marketing","CX","Intermediate","customer-journey,mapping,experience,analysis,optimization","Marketing",78,"78,80,93","Methods","UX Researchers","Business","Intermediate","Customer knowledge","Maps"
80,"Market research and analysis","Book","en","Marketing","Research","Intermediate","market-research,analysis,trends,consumer-behavior","Research",79,"79,81,94","Methods","Researchers","Business","Intermediate","Research skills","Reports"
81,"Competitive analysis frameworks","Book","en","Business","Strategy","Advanced","competitive-analysis,strategy,market-positioning","Strategy",80,"80,82,95","Frameworks","Strategists","Business","Advanced","Industry knowledge","Analyses"
82,"Business intelligence and analytics","Book","en","Business","Analytics","Advanced","business-intelligence,analytics,dashboards,metrics","Analytics",81,"81,83,96","Methods","Analysts","Business","Advanced","Data analysis","Dashboards"
83,"Data visualization best practices","Book","en","Technology","Data Viz","Intermediate","data-visualization,charts,dashboards,storytelling","Analytics",82,"82,84,97","Principles","Analysts","Technical","Intermediate","Data knowledge","Visuals"
84,"Statistical analysis methods","Book","en","Science","Statistics","Advanced","statistics,analysis,methods,probability,testing","Research",83,"83,85,98","Methods","Researchers","Scientific","Advanced","Math background","Analyses"
85,"Experimental design and A/B testing","Book","en","Science","Experiments","Advanced","experimental-design,ab-testing,research,methodology","Research",84,"84,86,99","Frameworks","Researchers","Scientific","Advanced","Stats knowledge","Designs"
86,"Survey design and analysis","Book","en","Research","Surveys","Intermediate","surveys,design,analysis,questionnaires,research","Research",85,"85,87,100","Methods","Researchers","Academic","Intermediate","Research basics","Surveys"
87,"User research methodologies","Book","en","Research","User Research","Intermediate","user-research,methodologies,interviews,usability","Research",86,"86,88,101","Methods","UX Researchers","Business","Intermediate","Research skills","Findings"
88,"Ethnographic research techniques","Book","en","Research","Ethnography","Advanced","ethnography,research,qualitative,observation,cultural","Research",87,"87,89,102","Methods","Researchers","Academic","Advanced","Research experience","Studies"
89,"Case study development","Book","en","Business","Case Studies","Intermediate","case-studies,analysis,business,examples,storytelling","Education",88,"88,90,103","Templates","Consultants","Business","Intermediate","Business knowledge","Studies"
90,"White paper writing and research","Book","en","Business","White Papers","Advanced","white-papers,research,analysis,thought-leadership","Content Creation",89,"89,91,104","Framework","Experts","Business","Advanced","Subject expertise","Papers"
91,"Technical documentation writing","Book","en","Technology","Documentation","Intermediate","documentation,technical,writing,manuals,guides","Professional",90,"90,92,105","Templates","Technical Writers","Technical","Intermediate","Technical knowledge","Docs"
92,"API documentation standards","Book","en","Technology","API Docs","Advanced","api,documentation,standards,reference,integration","Technical",91,"91,93,106","Standards","Developers","Technical","Advanced","API knowledge","Documentation"
93,"Open source contribution guidelines","Book","en","Technology","Open Source","Intermediate","open-source,contribution,guidelines,collaboration","Development",92,"92,94,107","Guidelines","Developers","Technical","Intermediate","Git knowledge","Processes"
94,"Community management strategies","Book","en","Business","Community","Intermediate","community,management,engagement,moderation,growth","Management",93,"93,95,108","Strategies","Community Managers","Business","Intermediate","Social skills","Plans"
95,"Event planning and management","Book","en","Business","Events","Intermediate","events,planning,management,logistics,coordination","Management",94,"94,96,109","Checklists","Event Planners","Business","Intermediate","Organization skills","Plans"
96,"Virtual event production","Book","en","Technology","Virtual Events","Intermediate","virtual-events,production,streaming,online,webinars","Technology",95,"95,97,110","Guide","Event Producers","Digital","Intermediate","Tech setup","Checklists"
97,"Video conferencing best practices","Book","en","Technology","Communication","Beginner","video-conferencing,communication,remote,meetings","Professional",96,"96,98,111","Guidelines","Remote Workers","Digital","Beginner","Video conferencing app","Tips"
98,"Digital accessibility standards","Book","en","Technology","Accessibility","Intermediate","accessibility,standards,inclusive-design,compliance","Design",97,"97,99,112","Standards","Designers","Technical","Intermediate","Design knowledge","Guidelines"
99,"Inclusive design principles","Book","en","Design","Inclusion","Intermediate","inclusive-design,diversity,equity,accessibility","Design",98,"98,100,113","Principles","Designers","Creative","Intermediate","Design basics","Frameworks"
100,"Sustainable design practices","Book","en","Design","Sustainability","Intermediate","sustainable-design,environment,eco-friendly,green","Design",99,"99,101,114","Practices","Designers","Creative","Intermediate","Design knowledge","Guidelines"
