date,platform,post_type,idea,caption,media_asset,hashtags,cta,link,utm_campaign,status,notes
2025-11-05,Twitter (X),single,Bridesmaids & MOB,"Coordinated looks for bridesmaids and mother of the bride/groom—elegant options for your full party.",img/bridesmaids.jpg,#Weddings #Bellevue,"Call us","https://www.bridalpalacebellevue.com/?utm_source=twitter&utm_medium=social&utm_campaign=nov25-bridesmaids","nov25-bridesmaids","Proposed","Add color palette graphic"
2025-11-05,Facebook,single,Bridesmaids & MOB,"Bridesmaids and mother-of-the-bride/groom styles to complement your gown—shop the collection in Bellevue.",img/bridesmaids.jpg,,"See styles","https://www.bridalpalacebellevue.com/?utm_source=facebook&utm_medium=social&utm_campaign=nov25-bridesmaids","nov25-bridesmaids","Proposed","Carousel of 4 colorways"
2025-11-05,Instagram,carousel,Bridesmaids & MOB,"Bridesmaids • Mother of the Bride/Groom—coordinated elegance.",carousel/bridesmaids,#Bridesmaids #MotherOfTheBride #BellevueWA,"Tap link in bio","","nov25-bridesmaids","Proposed","Include sizing inclusivity note"
2025-11-07,Twitter (X),single,Tuxedo rentals,"Tuxedo rentals available—classic and modern fits for weddings and formals.",img/tuxedos.jpg,#Tuxedo #Seattle,"Call us","https://www.bridalpalacebellevue.com/?utm_source=twitter&utm_medium=social&utm_campaign=nov25-tuxedos","nov25-tuxedos","Proposed","Add lead time note"
2025-11-07,Facebook,single,Tuxedo rentals,"From classic black tie to modern slim fits, our tuxedo rentals suit the occasion. Ask about group packages.",img/tuxedos.jpg,,"Inquire","https://www.bridalpalacebellevue.com/?utm_source=facebook&utm_medium=social&utm_campaign=nov25-tuxedos","nov25-tuxedos","Proposed","Mention group discounts if applicable"
2025-11-07,Instagram,single,Tuxedo rentals,"Tuxedo rentals for weddings and formals—classic to modern.",img/tuxedos.jpg,#Tuxedo #Formalwear #BellevueWA #SeattleWA,"Tap link in bio","","nov25-tuxedos","Proposed","Include couple shot if possible"
2025-11-10,Twitter (X),single,Testimonial/proof,"“Professional, kind, and detail-focused—my dress fit perfectly.” — Seattle bride",img/testimonial.jpg,#Bellevue #Bridal,"Call us","https://www.bridalpalacebellevue.com/?utm_source=twitter&utm_medium=social&utm_campaign=nov25-proof","nov25-proof","Proposed","Ensure permission for testimonial"
2025-11-10,Facebook,single,Testimonial/proof,"Our in-house team focuses on fit and finish—hear from our Seattle brides. Book your fitting today.",img/testimonial.jpg,,"Book fitting","https://www.bridalpalacebellevue.com/?utm_source=facebook&utm_medium=social&utm_campaign=nov25-proof","nov25-proof","Proposed","Add more quotes in comments"
2025-11-10,Instagram,carousel,Testimonial/proof,"Professional, kind, and detail-focused—thank you for the kind words!",carousel/testimonials,#SeattleBride #BellevueBride #RealBride,"Tap link in bio","","nov25-proof","Proposed","Use 2–3 slides with quotes"
2025-11-12,Twitter (X),single,Holiday/Formal events,"Holiday galas coming up? Explore formal gowns and cocktail dresses.",img/cocktail-dresses.jpg,#Bellevue #Formalwear,"Call us","https://www.bridalpalacebellevue.com/?utm_source=twitter&utm_medium=social&utm_campaign=nov25-holiday","nov25-holiday","Proposed","Time for evening posting"
2025-11-12,Facebook,single,Holiday/Formal events,"Seasonal events are around the corner—discover formal gowns and cocktail dresses in our Bellevue showroom.",img/cocktail-dresses.jpg,,"See collection","https://www.bridalpalacebellevue.com/?utm_source=facebook&utm_medium=social&utm_campaign=nov25-holiday","nov25-holiday","Proposed","Consider boosting (optional)"
2025-11-12,Instagram,carousel,Holiday/Formal events,"Formal gowns & cocktail dresses—curated looks for your event.",carousel/cocktail,#BellevueWA #SeattleWA #Formalwear,"Tap link in bio","","nov25-holiday","Proposed","Post after 6pm local"
2025-11-14,Twitter (X),single,Plan ahead,"Planning for 2026 weddings? Secure your fitting timeline now (ordering + alterations).",img/calendar.jpg,#BridalPlanning #Seattle,"Call us","https://www.bridalpalacebellevue.com/?utm_source=twitter&utm_medium=social&utm_campaign=nov25-year-end","nov25-year-end","Proposed","Educational reminder"
2025-11-14,Facebook,single,Plan ahead,"Planning ahead pays off—secure your fitting timeline and alteration schedule with our in-house team.",img/calendar.jpg,,"Book appointment","https://www.bridalpalacebellevue.com/?utm_source=facebook&utm_medium=social&utm_campaign=nov25-year-end","nov25-year-end","Proposed","Add link to booking/contact"
2025-11-14,Instagram,single,Plan ahead,"Plan ahead for your big day—timeline guidance from our consultants.",img/calendar.jpg,#BellevueBride #SeattleBride #WeddingPlanning,"Tap link in bio","","nov25-year-end","Proposed","Use clean calendar visual"
